fl_date	mkt_unique_carrier	branded_code_share	mkt_carrier	mkt_carrier_fl_num	op_unique_carrier	tail_num	op_carrier_fl_num	origin_airport_id	origin	origin_city_name	dest_airport_id	dest	dest_city_name	crs_dep_time	dep_time	dep_delay	taxi_out	wheels_off	wheels_on	taxi_in	crs_arr_time	arr_time	arr_delay	cancelled	cancellation_code	diverted	dup	crs_elapsed_time	actual_elapsed_time	air_time	flights	distance	carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	first_dep_time	total_add_gtime	longest_add_gtime	no_name
2018-05-07	AA	AA_CODESHARE	AA	4235	AX	N832HK	4235	11996	GSP	Greer, SC	11278	DCA	Washington, DC	1035	1029	-6	8	1037	1138	5	1208	1143	-25	0		0	N	93	74	61	1	396									
2019-07-10	DL	DL_CODESHARE	DL	4275	OO	N919EV	4275	11433	DTW	Detroit, MI	14150	PLN	Pellston, MI	1220	1220	0	17	1237	1317	5	1334	1322	-12	0		0	N	74	62	40	1	243									
2018-05-21	AA	AA	AA	642	AA	N972UY	642	14107	PHX	Phoenix, AZ	11292	DEN	Denver, CO	1503	1514	11	13	1527	1748	9	1746	1757	11	0		0	N	103	103	81	1	602									
2019-10-27	UA	UA_CODESHARE	UA	6381	YV	N86311	6381	10423	AUS	Austin, TX	12264	IAD	Washington, DC	1645	1642	-3	21	1703	2035	10	2055	2045	-10	0		0	N	190	183	152	1	1297									
2019-01-04	UA	UA_CODESHARE	UA	4819	ZW	N447AW	4819	13930	ORD	Chicago, IL	11423	DSM	Des Moines, IA	1300	1252	-8	14	1306	1356	5	1428	1401	-27	0		0	N	88	69	50	1	299									
2018-03-24	AA	AA_CODESHARE	AA	4448	YX	N125HQ	4448	10693	BNA	Nashville, TN	14100	PHL	Philadelphia, PA	1440	1429	-11	13	1442	1726	26	1743	1752	9	0		0	N	123	143	104	1	675									
2018-05-23	AA	AA	AA	294	AA	N971TW	294	13931	ORF	Norfolk, VA	11298	DFW	Dallas/Fort Worth, TX	1515	1520	5	19	1539	1727	16	1739	1743	4	0		0	N	204	203	168	1	1212									
2018-10-02	AA	AA_CODESHARE	AA	4600	YX	N416YX	4600	14122	PIT	Pittsburgh, PA	12953	LGA	New York, NY	2027	2332	185	13	2345	40	6	2203	46	163	0		0	N	96	74	55	1	335	0	0	119	0	44	2108.0	20	20	
2019-01-11	B6	B6	B6	602	B6	N779JB	602	14107	PHX	Phoenix, AZ	10721	BOS	Boston, MA	2359	2354	-5	15	9	629	6	642	635	-7	0		0	N	283	281	260	1	2300									
2019-12-03	WN	WN	WN	3050	WN	N472WN	3050	12892	LAX	Los Angeles, CA	15376	TUS	Tucson, AZ	2055	2301	126	10	2311	112	4	2315	116	121	0		0	N	80	75	61	1	451	92	0	0	0	29				
2019-05-16	WN	WN	WN	1231	WN	N420WN	1231	14908	SNA	Santa Ana, CA	14831	SJC	San Jose, CA	1730	1741	11	10	1751	1849	6	1845	1855	10	0		0	N	75	74	58	1	342									
2018-05-17	AA	AA_CODESHARE	AA	5849	YV	N242LR	5849	11298	DFW	Dallas/Fort Worth, TX	10627	BIS	Bismarck/Mandan, ND	1300	1256	-4	13	1309	1527	19	1541	1546	5	0		0	N	161	170	138	1	977									
2019-01-24	WN	WN	WN	983	WN	N8685B	983	14057	PDX	Portland, OR	11292	DEN	Denver, CO	1345	1416	31	6	1422	1716	6	1715	1722	7	0		0	N	150	126	114	1	991									
2018-06-16	DL	DL	DL	1915	DL	N306DN	1915	10397	ATL	Atlanta, GA	14107	PHX	Phoenix, AZ	2130	2208	38	13	2221	2243	3	2226	2246	20	0		0	N	236	218	202	1	1587	18	0	0	0	2				
2019-10-31	UA	UA	UA	645	UA	N14704	645	11618	EWR	Newark, NJ	10693	BNA	Nashville, TN	1200	1207	7	16	1223	1329	5	1328	1334	6	0		0	N	148	147	126	1	748									
2018-09-28	AA	AA_CODESHARE	AA	4850	PT	N690AE	4850	14100	PHL	Philadelphia, PA	15096	SYR	Syracuse, NY	1146	1141	-5	23	1204	1247	3	1257	1250	-7	0		0	N	71	69	43	1	228									
2019-05-07	AA	AA_CODESHARE	AA	3840	MQ	N262NN	3840	14783	SGF	Springfield, MO	11298	DFW	Dallas/Fort Worth, TX	1819	1811	-8	11	1822	1922	17	1947	1939	-8	0		0	N	88	88	60	1	364									
2018-11-05	AA	AA_CODESHARE	AA	4918	PT	N647AE	4918	14100	PHL	Philadelphia, PA	14576	ROC	Rochester, NY	1540	1648	68	19	1707	1755	7	1712	1802	50	0		0	N	92	74	48	1	257	36	0	0	0	14				
2019-03-17	AA	AA	AA	1405	AA	N986AN	1405	11298	DFW	Dallas/Fort Worth, TX	12892	LAX	Los Angeles, CA	705	706	1	18	724	800	5	842	805	-37	0		0	N	217	179	156	1	1235									
2019-04-25	WN	WN	WN	2264	WN	N932WN	2264	15016	STL	St. Louis, MO	11259	DAL	Dallas, TX	1330	1341	11	7	1348	1504	2	1515	1506	-9	0		0	N	105	85	76	1	546									
2019-10-20	AA	AA_CODESHARE	AA	5479	OH	N588NN	5479	10785	BTV	Burlington, VT	11057	CLT	Charlotte, NC	1322	1316	-6	18	1334	1542	5	1555	1547	-8	0		0	N	153	151	128	1	761									
2018-12-29	WN	WN	WN	2598	WN	N933WN	2598	12953	LGA	New York, NY	13232	MDW	Chicago, IL	1340	1806	266	16	1822	1937	6	1505	1943	278	0		0	N	145	157	135	1	725	1	0	12	0	265				
2019-01-04	B6	B6	B6	1523	B6	N989JB	1523	12478	JFK	New York, NY	12892	LAX	Los Angeles, CA	1640	1633	-7	26	1659	1934	11	2010	1945	-25	0		0	N	390	372	335	1	2475									
2018-05-26	UA	UA	UA	1724	UA	N67827	1724	12758	KOA	Kona, HI	14771	SFO	San Francisco, CA	2105	2053	-12	12	2105	441	3	505	444	-21	0		0	N	300	291	276	1	2367									
2018-01-24	AA	AA	AA	2062	AA	N977UY	2062	11057	CLT	Charlotte, NC	12953	LGA	New York, NY	804	757	-7	38	835	953	8	1004	1001	-3	0		0	N	120	124	78	1	544									
2018-09-28	AA	AA_CODESHARE	AA	5780	YV	N249LR	5780	11298	DFW	Dallas/Fort Worth, TX	12896	LBB	Lubbock, TX	850	845	-5	16	901	951	3	957	954	-3	0		0	N	67	69	50	1	282									
2019-03-16	UA	UA_CODESHARE	UA	5625	OO	N113SY	5625	11292	DEN	Denver, CO	14869	SLC	Salt Lake City, UT	1845	1845	0	28	1913	2014	3	2022	2017	-5	0		0	N	97	92	61	1	391									
2018-07-14	DL	DL_CODESHARE	DL	5897	YX	N206JQ	5897	12945	LEX	Lexington, KY	12953	LGA	New York, NY	750	750	0	23	813	945	7	951	952	1	0		0	N	121	122	92	1	604									
2019-06-26	AA	AA_CODESHARE	AA	5272	OH	N594NN	5272	11057	CLT	Charlotte, NC	15249	TLH	Tallahassee, FL	852	850	-2	17	907	1004	3	1016	1007	-9	0		0	N	84	77	57	1	386									
2019-08-22	AA	AA_CODESHARE	AA	5297	OH	N524AE	5297	15295	TOL	Toledo, OH	11057	CLT	Charlotte, NC	503	505	2	9	514	626	16	655	642	-13	0		0	N	112	97	72	1	466									
2018-05-26	B6	B6	B6	319	B6	N504JB	319	11697	FLL	Fort Lauderdale, FL	14869	SLC	Salt Lake City, UT	1930	2048	78	17	2105	2324	4	2250	2328	38	0		0	N	320	280	259	1	2084	38	0	0	0	0				
2019-01-26	UA	UA_CODESHARE	UA	4673	AX	N14116	4673	13367	MLI	Moline, IL	11292	DEN	Denver, CO	910	903	-7	35	938	1032	7	1039	1039	0	0		0	N	149	156	114	1	752									
