,yFT,y_sign
0,-0.4223346726679592,0
1,1.016007800673112,1
2,0.04360725531576805,1
3,-0.28052625980334656,0
4,-0.07794281285389994,1
5,0.6108409067742187,1
6,-0.36155963858312523,0
7,-0.5438847408376272,0
8,-0.3818179832780699,0
9,-0.5844014302275166,0
10,-0.28052625980334656,0
11,1.7047915203012305,1
12,-0.48310970675279324,0
13,-0.6451764643123505,0
14,-0.5641430855325719,0
15,-0.24000957041345725,0
16,-0.07794281285389994,1
17,-0.28052625980334656,0
18,0.590582562079274,1
19,-0.037426123464010606,1
20,0.10438228940060204,1
21,0.16515732348543602,1
22,0.8741993878084994,1
23,-0.1589761916336786,0
24,-0.2602679151084019,0
25,-0.13871784693873393,0
26,-0.3210429491932359,0
27,-0.40207632797301457,0
28,-0.057684468158955275,1
29,-0.037426123464010606,1
30,-0.1589761916336786,0
31,-0.46285136205784855,0
32,-0.28052625980334656,0
33,-0.11845950224378926,0
34,-0.1994928810235679,0
35,-0.5033680514477379,0
36,0.04360725531576805,1
37,0.8134243537236654,1
38,0.08412394470565737,1
40,-0.1994928810235679,0
41,0.1854156681803807,1
42,-0.2602679151084019,0
43,-0.4425930173629039,0
44,-0.17923453632862327,0
45,0.023348910620823383,1
47,1.0565244900630013,1
48,-0.2602679151084019,0
49,-0.4223346726679592,0
50,0.469032493909606,1
51,-0.3413012938881806,0
52,-0.21975122571851258,0
53,-0.40207632797301457,0
54,-0.7667265324820185,0
55,1.8263415884708984,1
56,0.12464063409554671,1
57,-0.2602679151084019,0
58,-0.4223346726679592,0
59,2.0491833801152897,1
60,-0.5438847408376272,0
61,-0.017167778769065944,1
62,0.32722408104499334,1
63,1.4009163498770607,1
64,-0.6249181196174058,0
65,0.12464063409554671,1
66,-1.0503433582112438,0
67,-0.2602679151084019,0
68,6.485760868308171,1
69,-0.8072432218719078,0
70,-0.07794281285389994,1
71,-0.28052625980334656,0
72,-0.36155963858312523,0
73,-0.5844014302275166,0
74,-0.6654348090072951,0
75,2.089700069505179,1
76,-0.28052625980334656,0
77,-0.2602679151084019,0
78,-0.3210429491932359,0
79,-0.17923453632862327,0
80,-0.3818179832780699,0
81,-0.11845950224378926,0
82,-0.1994928810235679,0
83,-0.5236263961426826,0
84,-0.17923453632862327,0
85,1.6440164862163966,1
86,-0.3413012938881806,0
87,-0.1589761916336786,0
88,-0.6654348090072951,0
89,-0.4223346726679592,0
90,-0.3818179832780699,0
91,-0.46285136205784855,0
92,0.14489897879049138,1
93,-0.5033680514477379,0
94,-0.5236263961426826,0
95,0.20567401287532536,1
96,-0.6856931537022398,0
97,0.00309056592587872,1
98,-0.5438847408376272,0
99,-0.7059514983971844,0
100,-0.8072432218719078,0
101,-0.4223346726679592,0
102,0.52980752799444,1
103,-0.4223346726679592,0
104,-0.3413012938881806,0
105,0.83368269841861,1
106,0.023348910620823383,1
107,0.5703242173843294,1
108,-0.3413012938881806,0
109,0.44877414921466136,1
110,-0.6654348090072951,0
111,-0.36155963858312523,0
112,-0.48310970675279324,0
113,-0.48310970675279324,0
114,0.8741993878084994,1
115,-0.3818179832780699,0
