,arr_delay
483,-6.0
484,-9.0
485,-10.0
486,1.0
487,1.0
488,13.0
489,47.0
490,-8.0
491,7.0
492,3.0
493,2.0
494,-6.0
495,-19.0
496,-1.0
497,-4.0
498,-13.0
499,-2.0
500,-2.0
501,5.0
502,-28.0
503,-10.0
504,-4.0
505,10.0
506,1.0
507,-10.0
508,0.0
509,13.0
510,103.0
511,-4.0
512,16.0
513,-6.0
514,4.0
515,15.0
516,-9.0
517,-2.0
518,-7.0
519,93.0
520,38.0
521,94.0
522,-7.0
523,-7.0
524,-7.0
525,2.0
526,-13.0
527,-12.0
528,2.0
529,10.0
530,-8.0
531,-11.0
532,-15.0
533,-2.0
534,-5.0
535,-12.0
536,-14.0
537,-10.0
538,-3.0
539,-21.0
540,-31.0
541,2.0
542,136.0
543,21.0
544,-10.0
545,22.0
546,25.0
547,0.0
548,-16.0
549,-17.0
550,-8.0
551,-3.0
552,55.0
553,-13.0
554,-8.0
555,-11.0
556,-11.0
557,-16.0
558,14.0
559,-11.0
560,-1.0
561,-3.0
562,43.0
563,8.0
564,64.0
565,-13.0
566,-11.0
567,-7.0
568,5.0
569,14.0
570,-2.0
571,-35.0
572,-7.0
573,-20.0
574,-10.0
575,-8.0
576,1.0
577,-17.0
578,-32.0
579,2.0
580,-14.0
581,6.0
582,114.0
583,-10.0
584,19.0
585,10.0
586,-13.0
587,108.0
588,-52.0
589,161.0
590,-8.0
591,13.0
592,-13.0
593,104.0
594,-3.0
595,2.0
596,12.0
597,19.0
598,-2.0
599,-16.0
600,-10.0
601,2.0
602,-1.0
603,8.0
604,-2.0
605,-30.0
606,4.0
607,-30.0
608,-14.0
609,-10.0
610,7.0
611,-16.0
612,-18.0
613,882.0
614,-24.0
615,-21.0
616,-1.0
617,18.0
618,-7.0
619,15.0
620,25.0
621,-15.0
622,-9.0
623,-6.0
624,-8.0
625,-9.0
626,-15.0
627,13.0
628,-4.0
629,5.0
630,-8.0
631,234.0
632,1.0
633,-3.0
634,41.0
635,-5.0
636,30.0
637,16.0
638,-11.0
639,19.0
640,3.0
641,8.0
642,50.0
643,-17.0
644,-30.0
645,3.0
646,-23.0
647,-15.0
648,-1.0
649,-8.0
650,-4.0
651,21.0
652,-20.0
653,2.0
654,-27.0
655,-4.0
656,-7.0
657,5.0
658,21.0
659,6.0
660,-9.0
661,-18.0
662,-16.0
663,4.0
664,-9.0
665,-15.0
666,-12.0
667,-16.0
668,-11.0
669,-33.0
670,-13.0
671,102.0
672,46.0
673,-20.0
674,30.0
675,4.0
676,-18.0
677,-25.0
678,-23.0
679,-3.0
680,272.0
681,44.0
682,52.0
683,-18.0
684,55.0
685,-32.0
686,9.0
687,25.0
688,4.0
689,24.0
690,-5.0
691,-29.0
692,-24.0
693,-4.0
694,-9.0
695,-9.0
696,-15.0
697,-9.0
698,-8.0
699,-35.0
700,17.0
701,20.0
702,-17.0
703,173.0
704,-10.0
705,-14.0
706,-12.0
707,989.0
708,-28.0
709,38.0
710,-15.0
711,-22.0
712,-10.0
713,-28.0
714,6.0
715,-21.0
716,-8.0
717,-5.0
718,-1.0
719,-22.0
720,-7.0
721,-13.0
722,-8.0
723,9.0
724,-19.0
725,-17.0
726,-38.0
727,-9.0
728,-17.0
729,-21.0
730,11.0
731,-1.0
732,-10.0
733,49.0
734,-21.0
735,797.0
736,-1.0
737,-26.0
738,52.0
739,1.0
740,49.0
741,25.0
742,2.0
743,-3.0
744,-21.0
745,-17.0
746,-29.0
747,-15.0
748,-10.0
749,13.0
750,30.0
751,-14.0
752,8.0
753,12.0
754,3.0
755,-13.0
756,3.0
757,-9.0
758,20.0
759,-6.0
760,-4.0
761,-13.0
762,-12.0
763,-9.0
764,-1.0
765,98.0
766,-5.0
767,-8.0
768,-34.0
769,-14.0
770,-14.0
771,-19.0
772,-8.0
773,55.0
774,35.0
775,-1.0
776,-13.0
777,-24.0
778,6.0
779,-3.0
780,-18.0
781,-9.0
782,14.0
783,-3.0
784,-12.0
785,53.0
786,-1.0
787,30.0
788,-10.0
789,-24.0
790,-30.0
791,-14.0
792,-26.0
793,-12.0
794,-31.0
795,-5.0
796,-13.0
797,31.0
798,-14.0
799,-12.0
800,-20.0
801,-21.0
802,-1.0
803,-15.0
804,-18.0
805,-29.0
806,-9.0
807,102.0
808,-17.0
809,-12.0
